employee_id,gender,department,job_level,employment_type,attendance_rate,overtime_hours,leave_days,performance_score,basic_salary,allowances,bonus,tax,deductions,previous_salary,actual_salary_paid,expected_salary,salary_deviation,salary_deviation_ratio,bonus_ratio,deduction_ratio,salary_change,anomaly_label
11,Female,HR,3,Contract,0.84,2.9,5,4.66,213702,41350.21,28363.49,21370.2,6718.9,206041,246475.92020795177,255326.6,-8850.679792048235,-0.03466415090338506,0.13272449485732468,0.03144051061758898,40434.92020795177,0
12,Male,Operations,2,Full-time,0.93,15.94,3,4.72,124866,21331.14,9976.61,12486.6,18528.12,123711,115589.37700735463,125159.03,-9569.652992645366,-0.07645994853623718,0.07989853122547372,0.14838402767767045,-8121.622992645367,0
13,Male,Finance,1,Full-time,0.94,14.03,0,4.43,76379,13295.24,13800.4,7637.9,7405.51,76715,89127.60654590538,88431.23000000001,696.3765459053684,0.00787478072967399,0.18068317207609422,0.09695740975922701,12412.606545905379,0
14,Female,Finance,1,Full-time,0.83,12.71,4,4.77,78716,10815.09,12011.73,7871.6,30989.87894770942,79027,78999.53119627305,62681.34105229056,16318.190143982487,0.26033568953748754,0.15259578738757051,0.3936922474174173,-27.46880372695159,0
15,Male,Sales,4,Contract,0.81,1.92,3,3.22,218724,27161.84,61773.0,21872.4,36190.44,217403,256919.21694161653,249595.99999999994,7323.216941616585,0.029340281661631544,0.28242442530312173,0.16546167773083886,39516.21694161653,0
16,Male,HR,5,Contract,0.95,4.66,2,4.73,372390,67365.85,93790.16,37239.0,67512.98,381545,431424.0388772775,428794.03,2630.0088772774907,0.006133501619128164,0.25186003920620853,0.18129643653159322,49879.03887727752,0
17,Female,Operations,4,Part-time,0.83,2.75,1,3.07,218128,35787.43,55514.38,21812.8,38157.46,224824,249500.45765313972,249459.55000000002,40.907653139700415,0.0001639851155816661,0.2545036859091909,0.17493150810533264,24676.457653139718,0
18,Female,IT,1,Full-time,0.85,5.55,1,2.8,70560,10629.32,20160.93,7056.0,5516.14,65802,86901.41293299882,88778.11,-1876.6970670011797,-0.021139186979776656,0.28572746598639454,0.0781765873015873,21099.41293299882,0
19,Female,Operations,1,Part-time,0.88,17.58,3,3.41,69526,17087.22,20205.08,6952.6,4541.49,74863,79974.04027760767,95324.20999999999,-15350.169722392326,-0.16103117688981977,0.2906118574346288,0.06532074331904611,5111.040277607666,0
20,Female,Operations,1,Contract,0.82,0.92,5,4.02,53753,9428.38,3379.43,5375.3,3771.12,61348,57202.278996406254,57414.38999999999,-212.11100359373813,-0.0036943874801027786,0.06286960727773333,0.07015645638382974,-4145.721003593746,0
21,Female,Finance,1,Part-time,0.98,5.99,3,2.86,55182,9569.55,16356.64,5518.2,3507.92,60049,81224.65251612017,72082.07,9142.582516120165,0.12683573759910285,0.29641259831104344,0.06357000471168135,21175.65251612017,0
22,Male,Finance,5,Full-time,0.81,18.21,4,3.42,399520,77844.82,83252.95,39952.0,46519.89,393006,480161.3442614942,474145.88,6015.4642614941695,0.01268694829003717,0.20838243392070485,0.11643945234281138,87155.34426149417,0
23,Female,Operations,5,Full-time,0.77,20.88,1,3.3,311260,39834.36,18735.92,31126.0,39331.04,306553,286967.93255147093,299373.24,-12405.307448529056,-0.041437596254525144,0.06019379297050697,0.12636072736618903,-19585.067448529066,0
24,Male,Operations,3,Part-time,0.91,4.36,0,4.23,160995,25438.87,45751.96,16099.5,7205.13,162889,209429.7037984482,208881.19999999998,548.5037984482187,0.0026259127123370546,0.2841824901394453,0.044753750116463244,46540.7037984482,0
25,Female,HR,1,Full-time,0.84,2.84,4,4.81,52580,12177.58,6019.64,5258.0,7297.95,45386,60040.94947683304,58221.270000000004,1819.6794768330365,0.03125454798277393,0.11448535564853557,0.1387970711297071,14654.94947683304,0
26,Female,IT,5,Full-time,0.88,6.05,1,2.73,358090,84001.6,98512.18,35809.0,47969.11,363664,467282.8120342595,456825.67000000004,10457.14203425945,0.022890880966166916,0.2751045267949398,0.13395825071909298,103618.81203425949,0
27,Male,Finance,5,Contract,0.83,8.73,3,4.31,284700,66781.09,77373.38,28470.0,45659.5,292371,349284.77222737204,354724.97,-5440.197772627929,-0.015336382360192826,0.2717716192483316,0.1603775904460836,56913.77222737204,0
28,Male,Finance,4,Contract,0.79,22.46,5,4.02,248944,25237.83,18762.38,24894.4,34710.34,253299,235197.49957728802,233339.47,1858.02957728802,0.007962774481694074,0.07536787389935086,0.13943031364483577,-18101.50042271198,0
29,Female,IT,2,Full-time,0.75,4.02,0,3.87,122156,24893.47,26018.04,12215.6,7374.37,112845,145680.08663818144,153477.54,-7797.453361818567,-0.05080517554437324,0.21299027473067225,0.06036846327646616,32835.08663818144,0
30,Male,Operations,2,Full-time,0.83,18.66,0,4.12,146388,33286.22,31386.06,14638.8,17902.6,138317,184815.55682993963,178518.88,6296.676829939621,0.03527176974188736,0.21440322977293222,0.12229554335054785,46498.556829939625,0
31,Male,IT,1,Part-time,0.77,9.19,0,3.16,66847,9131.2,19603.06,6684.7,6066.87,64645,85043.21639464016,82829.69,2213.5263946401537,0.026723828069864244,0.2932526515774829,0.09075755082501832,20398.216394640156,0
32,Female,Sales,2,Contract,0.95,12.57,1,3.94,147404,25630.26,14565.1,14740.4,22116.7,156115,157359.7259922882,150742.26,6617.465992288198,0.04389920910226633,0.09881075140430381,0.1500413828661366,1244.7259922882076,0
33,Female,HR,4,Part-time,0.82,0.61,1,4.11,212360,26877.68,60546.95,21236.0,40710.93,205536,236049.9977173932,237837.7,-1787.7022826067987,-0.007516479862556687,0.2851146637784893,0.19170714823883972,30513.997717393213,0
34,Female,Finance,4,Part-time,0.75,23.21,3,3.57,313224,76739.32,91118.43,31322.4,103383.37888338372,304999,401113.9239527367,346375.9711166163,54737.95283612044,0.1580304564998001,0.29090500727913565,0.33006212449679373,96114.92395273672,0
35,Male,IT,4,Contract,0.82,9.63,2,4.63,304932,44989.15,28167.54,30493.2,36660.21,298512,312320.7274068094,310935.27999999997,1385.4474068094278,0.004455742065710356,0.0923731848412105,0.12022421392310416,13808.727406809398,0
36,Male,HR,2,Contract,0.89,2.43,3,4.04,109186,27133.6,189.24550735376457,10918.6,12370.7,113010,125395.9390378307,113219.54550735377,12176.393530476926,0.10754674447696004,0.0017332396768245432,0.11329932408916894,12385.9390378307,0
37,Male,Finance,4,Full-time,0.97,18.52,0,4.24,258080,53002.56,36098.37,25808.0,18800.23,266113,306692.9821376693,302572.7,4120.282137669274,0.013617494696875407,0.13987279138251707,0.07284652045877248,40579.982137669285,0
38,Male,IT,5,Full-time,0.97,22.83,0,3.78,373460,65440.44,93205.83,37346.0,51161.6,371205,447708.9576072977,443598.67000000004,4110.2876072976505,0.009265779825935119,0.24957379639051036,0.13699352005569537,76503.95760729769,0
39,Male,Sales,4,Part-time,0.93,19.89,1,4.73,313328,47218.3,45086.56,31332.8,11567.05,316469,358850.1016173672,362733.01,-3882.908382632828,-0.010704590637154385,0.1438957258846959,0.03691674539141092,42381.10161736718,0
40,Male,HR,4,Full-time,0.87,13.57,3,3.22,234760,44281.6,13528.06,23476.0,6273.41,239669,263475.2431150906,262820.25,654.9931150905904,0.002492171417881957,0.05762506389504174,0.02672265292213324,23806.24311509059,0
41,Female,Sales,5,Contract,0.96,9.0,5,2.82,329735,58803.78,79960.21,32973.5,19404.17,324807,410278.38694626297,416121.32000000007,-5842.933053737099,-0.014041417185106252,0.24249840023048813,0.058847771695452404,85471.38694626297,0
42,Male,Finance,2,Full-time,0.76,13.28,4,3.85,148216,28993.2,34315.39,14821.6,28998.96,155982,169435.69871665584,167704.03000000003,1731.6687166558113,0.010325743016764779,0.23152284503697307,0.19565337075619366,13453.69871665584,0
43,Male,Finance,1,Full-time,0.88,8.07,4,4.49,65623,9228.22,10482.81,6562.3,2239.2,72100,80572.42823184366,76532.53,4039.898231843661,0.052786680798918593,0.15974292549868185,0.034122182771284454,8472.42823184366,0
44,Male,IT,5,Full-time,0.85,4.33,1,2.89,261225,35927.96,48929.18,26122.5,38825.16,270723,288060.521553361,281134.48,6926.041553360992,0.024636044477223114,0.18730665135419658,0.14862727533735287,17337.521553360973,0
45,Male,HR,4,Full-time,0.92,7.0,4,4.89,232268,48935.28,43803.08,23226.8,30220.33,241238,259404.27027236792,271559.23000000004,-12154.959727632115,-0.044759884345054714,0.18858852704634302,0.13010974391651026,18166.270272367925,0
46,Male,Operations,1,Part-time,0.84,18.95,5,2.54,69125,8116.03,4251.23,6912.5,1889.27,77646,68816.61741706998,72690.48999999999,-3873.8725829300092,-0.053292701465212436,0.06150061482820976,0.02733121157323689,-8829.382582930019,0
47,Female,Finance,2,Contract,0.96,17.59,5,3.69,120590,13828.67,20850.49,12059.0,12689.07,118411,128500.54478885472,130521.09,-2020.545211145276,-0.015480603258410393,0.17290397213699313,0.10522489426983996,10089.54478885472,0
48,Female,Sales,2,Contract,0.85,15.4,5,4.09,119660,12779.16,17189.54,11966.0,15873.47,124642,111806.96454428122,121789.23000000001,-9982.265455718793,-0.08196344993493096,0.14365318402139396,0.13265477185358515,-12835.035455718782,0
49,Female,IT,1,Part-time,0.88,21.41,4,4.15,68448,8517.68,4629.97,6844.8,9283.98,61724,66025.28667992014,65466.869999999995,558.4166799201485,0.008529759860524086,0.06764215170640486,0.13563551893408135,4301.286679920144,0
50,Male,Operations,2,Contract,0.99,14.39,2,3.47,108680,21354.88,17884.73,10868.0,12847.17,110116,121121.93122510593,124204.44000000002,-3082.508774894086,-0.024818024016646147,0.1645632131026868,0.11821098638203902,11005.931225105931,0
51,Male,HR,3,Part-time,0.99,9.65,1,4.9,193074,45527.35,19104.24,19307.4,6272.02,200874,234374.10494188027,232126.17,2247.9349418802594,0.009684108180823641,0.09894776096211816,0.03248505754270384,33500.10494188027,0
52,Female,Operations,5,Full-time,0.77,7.97,5,4.61,383870,39727.01,97356.0,38387.0,27152.61,392043,450431.8038414353,455413.4,-4981.596158564731,-0.010938624464200505,0.25361710995910075,0.07073386823664261,58388.80384143529,0
53,Female,IT,2,Part-time,0.78,17.42,0,4.07,158308,36667.43,37007.31,15830.8,26061.7,151815,183458.2799126234,190090.24,-6631.9600873765885,-0.034888482898314976,0.2337677817924552,0.16462655077443972,31643.279912623402,0
54,Male,Finance,3,Contract,0.94,20.17,1,4.98,220542,35704.13,31538.5,22054.2,35232.54,221777,226016.44167842422,230497.88999999998,-4481.448321575765,-0.01944247004419765,0.14300450707801687,0.1597543325080937,4239.44167842422,0
55,Male,Finance,5,Part-time,0.84,23.27,2,4.65,398330,65465.18,94690.12,39833.0,62066.87,389994,467029.2604572347,456585.43000000005,10443.830457234639,0.022873770757938196,0.23771777169683428,0.15581771395576532,77035.26045723469,0
56,Male,Sales,3,Full-time,0.83,22.39,0,3.47,182787,18575.85,50512.36,18278.7,6659.22,177073,227105.32073306208,226937.29,168.0307330620708,0.0007404280409890802,0.2763454731463397,0.03643158430304125,50032.32073306208,0
57,Female,HR,4,Contract,0.83,23.75,5,4.88,256056,47630.43,53249.23,25605.6,25790.01,264435,297491.91094800236,305540.05,-8048.139051997627,-0.026340700841011276,0.2079593135876527,0.10072019402005811,33056.91094800236,0
58,Male,IT,1,Contract,0.92,18.81,1,4.48,67877,14827.24,4941.55,6787.7,190.26319432906897,59057,63746.28109769815,80667.82680567093,-16921.545707972786,-0.20976821092176992,0.07280153807622612,0.0028030583898679814,4689.281097698149,0
59,Female,Operations,5,Full-time,0.76,13.74,3,3.6,270880,63157.2,37307.96,27088.0,11125.6,262250,336435.01163420506,333131.56000000006,3303.4516342050047,0.009916357472120036,0.13772873597164795,0.04107206142941524,74185.01163420506,0
60,Female,Finance,1,Part-time,0.9,2.53,1,2.71,72349,14842.06,4933.53,7234.9,12149.92,70525,68229.9735775682,72739.77,-4509.796422431798,-0.06199904704719025,0.06819071445355153,0.1679348712490843,-2295.0264224317943,0
61,Male,Finance,5,Part-time,0.93,2.03,4,2.71,372790,92450.41,53520.6,37279.0,32326.7,367854,443407.7562299805,449155.31,-5747.553770019498,-0.012796361619368361,0.14356769226642346,0.0867155771345798,75553.7562299805,0
62,Male,HR,2,Part-time,0.94,13.96,0,3.56,111754,26368.71,8694.39,11175.4,12144.59,112639,121789.53278630521,123497.10999999999,-1707.577213694778,-0.013826859702990444,0.07779936288633964,0.10867253073715483,9150.532786305208,0
63,Female,HR,3,Full-time,0.75,11.72,5,2.64,160626,18925.39,12750.74,16062.6,21982.93,163161,158411.3721139294,154256.6,4154.772113929386,0.026934161092163227,0.07938154470633646,0.1368578561378606,-4749.627886070608,1
64,Male,Sales,2,Full-time,0.99,9.37,3,3.21,122914,28305.85,13016.46,12291.4,23769.12,122914,140437.70130402062,128175.79000000001,12261.911304020614,0.09566479991284324,0.10589892119693443,0.19338008689002065,17523.701304020622,0
65,Male,HR,1,Contract,0.75,24.25,1,2.61,63056,14734.39,11471.48,6305.6,12531.35,63812,71206.32878839063,70424.91999999998,781.4087883906468,0.011095629052764944,0.18192527277340775,0.19873366531337225,7394.3287883906305,0
66,Female,IT,3,Part-time,0.99,13.08,5,4.07,200076,40887.99,32739.49,20007.6,26602.2,203172,220909.60172915625,227093.67999999996,-6184.078270843718,-0.027231397504517602,0.1636352685979328,0.1329604750194926,17737.601729156246,0
67,Female,IT,1,Part-time,0.9,22.53,1,2.61,69024,9811.38,19851.5,6902.4,12441.4,67722,96861.50346574139,79343.08000000002,17518.423465741376,0.22079333781523697,0.287602862772369,0.1802474501622624,29139.503465741393,0
68,Male,IT,5,Part-time,0.82,4.7,2,3.66,369360,56513.13,72362.81,36936.0,12555.37,369638,442278.1837171588,448744.57,-6466.386282841209,-0.01440994881083733,0.19591404050249078,0.03399222980290232,72640.1837171588,0
69,Female,Operations,5,Full-time,0.99,24.66,3,4.25,397370,71691.29,50617.75,39737.0,66155.39,406263,406599.3326292131,413786.64999999997,-7187.3173707868555,-0.0173696212064523,0.12738191106525404,0.1664831013916501,336.3326292131096,0
70,Male,Finance,1,Contract,0.98,20.56,3,4.87,50055,10454.38,10178.87,5005.5,4769.43,57091,64848.67337205204,60913.32,3935.3533720520427,0.06460579347919376,0.20335371091799023,0.09528378783338329,7757.673372052042,0
71,Male,Finance,4,Full-time,0.98,21.65,5,2.61,243276,25289.77,35059.93,24327.6,40359.39,243562,225233.633767273,238938.71000000002,-13705.076232727035,-0.05735812431868839,0.14411586017527417,0.16589959552113648,-18328.366232727014,0
72,Male,Finance,5,Part-time,0.99,21.05,5,4.6,316910,53971.03,48710.61,31691.0,21934.38,317598,376797.2389933233,365966.26,10830.978993323282,0.029595567070372232,0.1537048688902212,0.06921327821779054,59199.23899332329,0
73,Female,Finance,5,Full-time,0.76,21.62,1,4.53,318885,79707.75,95397.38,31888.5,38259.09,321308,420242.01622816606,423842.54000000004,-3600.5237718339777,-0.008494956102881927,0.29915919532119734,0.1199777035608448,98934.01622816606,0
74,Male,Operations,5,Part-time,0.86,3.23,3,4.89,339770,64870.99,36409.99,33977.0,47875.67,329783,364181.10945878,359198.31,4982.799458779977,0.013872001398837252,0.10716069694204902,0.1409061129587662,34398.109458779974,0
75,Female,Finance,2,Part-time,0.9,8.95,4,2.78,139758,28054.46,25167.19,13975.8,22223.94,140317,166214.28747251062,156779.91,9434.37747251062,0.060175933718233536,0.1800769186737074,0.15901730133516506,25897.287472510623,0
76,Female,Sales,4,Contract,0.89,14.02,1,4.69,267000,42859.49,22295.52,26700.0,6723.3,272505,299271.8578512809,298731.71,540.147851280868,0.0018081369777613098,0.0835038202247191,0.025180898876404494,26766.85785128089,0
77,Male,IT,3,Contract,0.94,15.51,5,4.26,212220,28001.29,17846.19,21222.0,4800.0,213203,240512.8758947967,232045.48,8467.395894796704,0.03649024275239795,0.08409287531806615,0.02261803788521346,27309.875894796714,0
78,Male,HR,3,Full-time,0.85,10.94,1,4.76,164484,25040.77,29359.96,16448.4,26491.39,155284,161875.0241086151,175944.94,-14069.91589138491,-0.0799677211028911,0.17849736144549014,0.16105754967048466,6591.024108615093,0
79,Male,HR,4,Contract,0.85,15.55,0,4.66,259692,62956.64,22533.05,25969.2,48506.77,263272,257078.66048515873,270705.72,-13627.05951484124,-0.05033901579486847,0.08676836406204272,0.18678576929593518,-6193.339514841267,0
80,Male,Sales,4,Part-time,0.86,24.5,1,3.73,219340,32750.26,45699.54,21934.0,13868.04,209521,261543.37840882703,261987.75999999998,-444.3815911729471,-0.001696192185363725,0.208350232515729,0.06322622412692623,52022.37840882703,1
81,Male,Sales,2,Full-time,0.77,3.22,5,2.82,133944,16446.37,11345.97,13394.4,18130.32,139166,126100.68466130644,130211.62,-4110.9353386935545,-0.031571186493905494,0.08470681777459237,0.1353574628202831,-13065.31533869356,0
82,Male,Operations,2,Full-time,0.97,11.85,3,4.17,108738,13684.46,10664.18,10873.8,2974.67,113963,110764.46182488836,119238.16999999998,-8473.70817511162,-0.07106539940282228,0.09807224705254833,0.02735630598318895,-3198.5381751116365,0
83,Female,Sales,5,Contract,0.79,6.96,4,2.94,319915,36248.09,25644.06,31991.5,32932.11,327867,312454.34555722255,316883.54,-4429.194442777429,-0.013977357242277175,0.08015897972899051,0.10294018723723489,-15412.65444277745,0
84,Female,HR,4,Part-time,0.88,17.26,2,2.6,298536,65651.52,61789.52,29853.6,10364.16,296637,376176.2568592893,385759.2800000001,-9583.023140710779,-0.024841976946635674,0.20697510517994477,0.03471661709140606,79539.25685928931,0
85,Female,Operations,4,Contract,0.97,23.02,1,2.65,235992,33400.34,59363.86,23599.2,36504.83,240405,264408.1608191157,268652.1699999999,-4244.009180884226,-0.015797412620505644,0.2515503067900607,0.15468672666870065,24003.1608191157,0
86,Male,Finance,2,Part-time,0.84,12.11,2,4.05,120952,18788.33,20033.72,12095.2,18692.5,128651,124379.80407484257,128986.35,-4606.545925157436,-0.03571343731454867,0.16563363979099147,0.15454477809378928,-4271.19592515743,0
87,Male,HR,2,Full-time,0.76,6.31,3,4.28,145478,34082.74,25883.35,14547.8,16843.51,140485,173029.43926815386,174052.78,-1023.3407318461395,-0.005879485130005619,0.17791934175614182,0.11578046165055883,32544.43926815386,0
88,Male,IT,4,Part-time,0.88,6.06,2,3.17,271120,42455.39,14916.43,27112.0,21140.38,276387,272595.1164751966,280239.44,-7644.323524803389,-0.027277829005094317,0.055017814989672474,0.07797425494246091,-3791.8835248033865,0
89,Female,IT,2,Part-time,0.8,8.19,3,2.8,159298,37208.68,31604.42,15929.8,22658.3,168437,189459.21886946706,189523.0,-63.78113053293782,-0.0003365350407757255,0.19839809664904767,0.14223844618262627,21022.218869467062,0
90,Male,Operations,4,Part-time,0.77,13.43,0,3.97,246104,52128.75,38863.49,24610.4,10573.72,245888,313751.6731111202,301912.12,11839.553111120185,0.0392152296208585,0.15791490589344342,0.04296443779865423,67863.67311112018,0
91,Female,Sales,5,Contract,0.82,9.08,5,4.11,339475,63012.24,47195.23,33947.5,67071.01,349242,337475.4194094468,348663.95999999996,-11188.540590553137,-0.03208975367156714,0.13902416967376097,0.19757275204359673,-11766.580590553174,0
92,Male,Sales,2,Part-time,0.78,3.82,3,3.11,131826,16359.9,12739.9,13182.6,9401.45,122777,142845.50389352452,138341.74999999997,4503.753893524554,0.03255527628878885,0.09664178538376345,0.07131711498490435,20068.503893524525,0
93,Female,Finance,4,Contract,0.79,22.42,1,2.7,310164,55419.08,47330.78,31016.4,61049.01,315479,318936.86562506866,320848.44999999995,-1911.5843749312917,-0.005957904346838179,0.15259920558156329,0.19682816187565289,3457.8656250686618,0
94,Male,Operations,5,Full-time,0.99,21.64,3,4.54,346975,48120.38,32172.18,34697.5,48699.95,355468,336609.6007036672,343870.11,-7260.509296332777,-0.02111410409102663,0.09272189639022985,0.14035578932199724,-18858.39929633279,0
95,Male,IT,4,Full-time,0.98,13.92,3,3.93,223816,31781.17,54247.01,22381.6,12011.73,215463,269344.7767476599,275450.85000000003,-6106.073252340138,-0.02216756002873158,0.24237324409336242,0.05366787897201272,53881.7767476599,1
96,Female,Sales,3,Full-time,0.88,6.06,3,2.79,182130,34894.83,22248.57,18213.0,22697.57,183189,183923.77319468386,198362.83000000002,-14439.056805316155,-0.07279114139133906,0.12215763465656398,0.1246229067149838,734.7731946838612,0
97,Female,Finance,4,Part-time,0.79,12.03,0,3.83,261644,28198.3,35099.82,26164.4,11563.26,252279,295264.8024737155,287214.45999999996,8050.342473715544,0.02802902915722121,0.13415106021922918,0.04419463087248322,42985.80247371551,0
98,Male,Finance,2,Contract,0.81,17.04,0,4.4,151198,28628.71,25385.24,15119.8,14232.47,142517,171244.5450438148,175859.68,-4615.134956185182,-0.02624328075761984,0.16789401976216617,0.09413133771610735,28727.54504381481,0
99,Male,HR,2,Full-time,0.84,23.24,4,4.58,109986,26919.52,8917.04,10998.6,16669.05,107802,118847.62829978319,118154.90999999999,692.7182997831987,0.005862797405399393,0.0810743185496336,0.15155610714090884,11045.628299783188,0
100,Male,Sales,1,Contract,0.89,21.05,1,2.85,65238,14306.05,6550.34,6523.8,3226.55,63634,75098.62211686336,76344.04,-1245.4178831366298,-0.01631322999328605,0.10040681811214323,0.04945813789509182,11464.622116863364,0
101,Female,HR,5,Contract,0.79,20.36,5,4.16,367695,65618.78,51369.79,36769.5,65411.51,361448,392112.27137731155,382502.56,9609.711377311556,0.025123260292196622,0.13970761092753506,0.17789610954731502,30664.271377311554,0
102,Male,Finance,1,Contract,0.86,9.42,0,3.66,60222,8744.64,14266.73,6022.2,209.21489698402505,69089,67292.65701582759,77001.95510301598,-9709.298087188392,-0.12609157876834354,0.23690229484241637,0.0034740609243137897,-1796.3429841724137,0
103,Female,Sales,2,Full-time,0.81,22.49,4,3.46,145260,26369.47,40181.53,14526.0,19227.03,143217,166229.28003376126,178057.97,-11828.689966238744,-0.06643167933588563,0.2766179953187388,0.13236286658405616,23012.280033761257,0
104,Male,Finance,5,Full-time,0.78,19.85,4,4.05,378225,68087.75,103434.38,37822.5,61252.59,369570,459822.07234565547,450672.04000000004,9150.032345655432,0.020303084135539964,0.27347314429241854,0.1619474915724767,90252.07234565547,0
105,Female,Operations,4,Contract,0.79,7.79,2,3.12,209036,44230.33,12204.17,20903.6,25623.66,215615,222775.07860597112,218943.24,3831.838605971134,0.0175015159452794,0.05838310147534396,0.12258012973841827,7160.0786059711245,0
106,Female,IT,4,Part-time,0.84,20.53,0,2.78,256820,58289.88,21026.41,25682.0,23502.04,258688,289621.54684229556,286952.25,2669.29684229556,0.00930223353291553,0.08187216727669185,0.09151172027100693,30933.54684229556,0
107,Female,HR,4,Full-time,0.95,3.75,5,3.07,268384,55914.55,61730.77,26838.4,36340.96,267234,326157.43922578957,322849.95999999996,3307.4792257896042,0.010244632602059498,0.2300091287111005,0.13540658161440325,58923.43922578957,0
108,Female,Sales,4,Contract,0.81,8.64,4,2.95,235176,55564.47,46058.74,23517.6,21672.23,235737,306623.7465004645,291609.38,15014.3665004645,0.051487940821603545,0.19584796067625948,0.09215323842568969,70886.7465004645,0
109,Male,IT,3,Part-time,0.87,23.68,1,2.88,223773,42054.66,39489.71,22377.3,1506.0451517215774,229000,254710.91835683922,281434.0248482785,-26723.106491439277,-0.09495336075958032,0.1764721838648988,0.0067302362292214766,25710.918356839218,0
110,Female,Finance,1,Part-time,0.92,23.06,2,4.27,55958,6876.17,10859.89,5595.8,7230.26,61934,66674.13299118953,60867.99999999999,5806.132991189537,0.09538892342757341,0.194072161263805,0.12920869223346082,4740.13299118953,0
111,Male,Finance,3,Part-time,0.86,18.41,2,4.84,236538,56493.62,38487.06,23653.8,9552.08,246072,298758.59929830953,298312.8,445.79929830954643,0.0014944021788858757,0.16270983943383302,0.040382856031589004,52686.599298309535,0
112,Female,Operations,1,Contract,0.9,9.98,1,2.64,52805,7935.51,13238.92,5280.5,1100.13,50713,76352.33214776759,67598.8,8753.53214776759,0.1294924192111042,0.25071337941482813,0.020833822554682323,25639.332147767593,0
113,Female,Sales,5,Full-time,0.83,9.95,5,3.84,328000,78056.9,44800.37,32800.0,27044.12,334083,388326.872405679,391013.15,-2686.277594321,-0.006870044125935406,0.13658649390243904,0.08245158536585366,54243.87240567902,0
114,Female,IT,1,Part-time,0.81,11.31,1,2.85,63251,7998.6,11043.11,6325.1,6034.56,61223,83285.22220231514,69933.05,13352.172202315138,0.19092792609953574,0.17459186416025044,0.09540655483707768,22062.22220231514,0
115,Female,Operations,3,Part-time,0.98,9.06,4,3.95,202191,39394.82,10771.45,20219.1,28192.85,203455,201794.21047556135,203945.32,-2151.1095244386524,-0.010547481670276387,0.05327363730334189,0.1394367207244635,-1660.7895244386455,0
116,Female,Operations,3,Part-time,0.77,24.92,5,3.76,194604,36840.05,12993.54,19460.4,30162.24,193481,185962.74273006665,194814.95,-8852.207269933366,-0.04543905521590291,0.06676913115866066,0.15499290867608068,-7518.257269933354,0
117,Female,Finance,2,Full-time,0.8,22.45,5,3.01,112620,14483.29,6660.06,11262.0,11821.95,112959,104976.63373858269,110679.40000000001,-5702.766261417317,-0.05152509194499895,0.05913745338305808,0.10497202983484284,-7982.366261417308,0
118,Male,Operations,2,Full-time,0.94,11.33,1,3.81,148404,24652.04,22288.91,14840.4,17917.6,154270,163438.3918215352,162586.95,851.4418215351761,0.005236839866515585,0.15019076305220883,0.1207352901539042,9168.391821535188,0
